"id";"nazwa";"studio";"wydawca";"datapremiery";"ocenamc"
"1";"Mount & Blade II: Bannerlord";"TaleWorlds Interative";;"2020-03-30";"77"
"3";"Red Dead Redemption II";"Rockstar Games";"Take-Two Interactive";"2018-10-26";"97"
"4";"Bloons TD 6";"Ninja Kiwi";;"2018-06-14";"0"
"5";"Wolfenstein: The New Order";"MachineGames";"Bethesda Softworks";"2014-05-19";"79"
"6";"Team Fortress 2";"Valve Corporation";"Valve Corporation";"2010-10-10";"92"
"7";"This War of Mine";"11 Bit Studios";"11 Bit Studios";"2014-11-14";"83"
"8";"Chivalry 2";"Torn Banner Studios";"Tripwire Interactive";"2021-04-23";"82"
"9";"Sid Meier's Civilization VI";"Fraxis Games";"2K";"2016-10-21";"88"
"10";"Lethal Company";"ZeekersRBLX";;"2023-10-23";"0"
"11";"Wied´zmin 3: Dziki Gon";"CD Projekt Red";"CD Projekt";"2015-10-12";"92"
"12";"Black Mesa";"Crowbar Collective";"Valve Corporation";"2020-03-06";"84"
"13";"S.T.A.L.K.E.R. Shadow of Chernobyl";"GSC Game World";"GSC Game World";"2007-03-20";"82"
"16";"Battlefield 4";"EA DICE";"Electronic Arts";"2013-10-29";"81"
"17";"Battlefield 1";"EA DICE";"Electronic Arts";"2016-10-21";"88"
"18";"Twierdza 2";"Firefly Studios";"2K";"2005-04-18";"63"
